Year,Quarter,Month,Day,Average of CHARGE_RED_DISPO_SORT
2021,Qtr 3,September,1,21.05%
2021,Qtr 3,September,2,0.00%
2021,Qtr 3,September,3,20.00%
2021,Qtr 3,September,7,4.35%
2021,Qtr 3,September,8,6.45%
2021,Qtr 3,September,9,8.82%
2021,Qtr 3,September,10,0.00%
2021,Qtr 3,September,13,3.57%
2021,Qtr 3,September,14,8.33%
2021,Qtr 3,September,15,11.54%
2021,Qtr 3,September,16,9.09%
2021,Qtr 3,September,17,0.00%
2021,Qtr 3,September,20,8.82%
2021,Qtr 3,September,21,7.69%
2021,Qtr 3,September,22,16.13%
2021,Qtr 3,September,23,6.25%
2021,Qtr 3,September,24,5.88%
2021,Qtr 3,September,27,5.88%
2021,Qtr 3,September,28,3.70%
2021,Qtr 3,September,29,10.87%
2021,Qtr 3,September,30,6.25%
2021,Qtr 4,October,1,10.00%
2021,Qtr 4,October,4,11.11%
2021,Qtr 4,October,5,10.26%
2021,Qtr 4,October,6,14.29%
2021,Qtr 4,October,7,20.00%
2021,Qtr 4,October,8,0.00%
2021,Qtr 4,October,12,3.45%
2021,Qtr 4,October,13,9.09%
2021,Qtr 4,October,14,7.69%
2021,Qtr 4,October,15,9.09%
2021,Qtr 4,October,18,9.09%
2021,Qtr 4,October,19,24.24%
2021,Qtr 4,October,20,20.00%
2021,Qtr 4,October,21,12.50%
2021,Qtr 4,October,22,17.65%
2021,Qtr 4,October,23,0.00%
2021,Qtr 4,October,25,21.88%
2021,Qtr 4,October,26,22.22%
2021,Qtr 4,October,27,11.11%
2021,Qtr 4,October,28,3.03%
2021,Qtr 4,October,29,0.00%
2021,Qtr 4,November,1,23.33%
2021,Qtr 4,November,2,14.29%
2021,Qtr 4,November,3,10.53%
2021,Qtr 4,November,4,10.26%
2021,Qtr 4,November,5,9.09%
2021,Qtr 4,November,8,20.00%
2021,Qtr 4,November,9,9.09%
2021,Qtr 4,November,10,0.00%
2021,Qtr 4,November,12,0.00%
2021,Qtr 4,November,15,17.65%
2021,Qtr 4,November,16,3.03%
2021,Qtr 4,November,17,14.29%
2021,Qtr 4,November,18,5.26%
2021,Qtr 4,November,19,4.55%
2021,Qtr 4,November,22,15.79%
2021,Qtr 4,November,23,0.00%
2021,Qtr 4,November,24,0.00%
2021,Qtr 4,November,29,11.54%
2021,Qtr 4,November,30,10.87%
2021,Qtr 4,December,1,10.34%
2021,Qtr 4,December,2,9.52%
2021,Qtr 4,December,3,20.83%
2021,Qtr 4,December,6,0.00%
2021,Qtr 4,December,7,10.26%
2021,Qtr 4,December,8,4.76%
2021,Qtr 4,December,9,8.33%
2021,Qtr 4,December,10,19.05%
2021,Qtr 4,December,13,17.39%
2021,Qtr 4,December,14,10.81%
2021,Qtr 4,December,15,11.36%
2021,Qtr 4,December,16,9.09%
2021,Qtr 4,December,17,4.76%
2021,Qtr 4,December,20,0.00%
2021,Qtr 4,December,21,0.00%
2021,Qtr 4,December,22,9.09%
2021,Qtr 4,December,23,0.00%
2021,Qtr 4,December,27,0.00%
2021,Qtr 4,December,28,23.08%
2021,Qtr 4,December,29,20.00%
2021,Qtr 4,December,30,14.29%
2022,Qtr 1,January,3,0.00%
2022,Qtr 1,January,4,0.00%
2022,Qtr 1,January,5,15.38%
2022,Qtr 1,January,6,0.00%
2022,Qtr 1,January,7,8.00%
2022,Qtr 1,January,10,9.09%
2022,Qtr 1,January,11,2.86%
2022,Qtr 1,January,12,29.41%
2022,Qtr 1,January,13,0.00%
2022,Qtr 1,January,14,0.00%
2022,Qtr 1,January,18,10.53%
2022,Qtr 1,January,19,6.25%
2022,Qtr 1,January,20,6.25%
2022,Qtr 1,January,21,28.57%
2022,Qtr 1,January,24,5.56%
2022,Qtr 1,January,25,7.14%
2022,Qtr 1,January,26,0.00%
2022,Qtr 1,January,27,12.00%
2022,Qtr 1,January,28,20.00%
2022,Qtr 1,January,31,0.00%
2022,Qtr 1,February,1,18.18%
2022,Qtr 1,February,2,16.67%
2022,Qtr 1,February,3,13.04%
2022,Qtr 1,February,4,27.27%
2022,Qtr 1,February,7,21.05%
2022,Qtr 1,February,8,0.00%
2022,Qtr 1,February,9,8.00%
2022,Qtr 1,February,10,7.14%
2022,Qtr 1,February,14,13.64%
2022,Qtr 1,February,15,0.00%
2022,Qtr 1,February,16,13.64%
2022,Qtr 1,February,17,5.00%
2022,Qtr 1,February,18,0.00%
2022,Qtr 1,February,22,10.00%
2022,Qtr 1,February,23,7.69%
2022,Qtr 1,February,24,16.67%
2022,Qtr 1,February,25,4.00%
2022,Qtr 1,February,28,10.00%
2022,Qtr 1,March,1,4.35%
2022,Qtr 1,March,2,0.00%
2022,Qtr 1,March,3,0.00%
2022,Qtr 1,March,4,4.55%
2022,Qtr 1,March,7,17.07%
2022,Qtr 1,March,8,13.33%
2022,Qtr 1,March,9,10.53%
2022,Qtr 1,March,10,5.00%
2022,Qtr 1,March,11,27.78%
2022,Qtr 1,March,14,4.44%
2022,Qtr 1,March,15,5.00%
2022,Qtr 1,March,16,5.41%
2022,Qtr 1,March,17,14.29%
2022,Qtr 1,March,18,13.33%
2022,Qtr 1,March,21,15.15%
2022,Qtr 1,March,22,3.33%
2022,Qtr 1,March,23,16.67%
2022,Qtr 1,March,24,10.53%
2022,Qtr 1,March,25,19.05%
2022,Qtr 1,March,28,0.00%
2022,Qtr 1,March,29,3.70%
2022,Qtr 1,March,30,0.00%
2022,Qtr 2,April,1,18.18%
2022,Qtr 2,April,4,16.00%
2022,Qtr 2,April,5,12.50%
2022,Qtr 2,April,6,13.64%
2022,Qtr 2,April,7,4.35%
2022,Qtr 2,April,8,41.67%
2022,Qtr 2,April,11,13.51%
2022,Qtr 2,April,12,0.00%
2022,Qtr 2,April,13,6.25%
2022,Qtr 2,April,14,4.55%
2022,Qtr 2,April,15,11.11%
2022,Qtr 2,April,16,0.00%
2022,Qtr 2,April,18,4.55%
2022,Qtr 2,April,19,11.11%
2022,Qtr 2,April,20,8.70%
2022,Qtr 2,April,21,0.00%
2022,Qtr 2,April,22,5.56%
2022,Qtr 2,April,25,13.79%
2022,Qtr 2,April,26,13.04%
2022,Qtr 2,April,27,9.38%
2022,Qtr 2,April,28,14.29%
2022,Qtr 2,April,29,8.33%
2022,Qtr 2,May,2,16.13%
2022,Qtr 2,May,3,9.09%
2022,Qtr 2,May,4,10.71%
2022,Qtr 2,May,5,5.00%
2022,Qtr 2,May,6,28.57%
2022,Qtr 2,May,9,8.70%
2022,Qtr 2,May,10,21.05%
2022,Qtr 2,May,11,10.00%
2022,Qtr 2,May,12,6.25%
2022,Qtr 2,May,13,0.00%
2022,Qtr 2,May,16,24.14%
2022,Qtr 2,May,17,10.00%
2022,Qtr 2,May,18,6.67%
2022,Qtr 2,May,19,11.76%
2022,Qtr 2,May,20,7.14%
2022,Qtr 2,May,23,7.14%
2022,Qtr 2,May,24,7.69%
2022,Qtr 2,May,25,0.00%
2022,Qtr 2,May,26,18.18%
2022,Qtr 2,May,27,16.67%
2022,Qtr 2,May,31,12.12%
2022,Qtr 2,June,1,32.14%
2022,Qtr 2,June,2,8.33%
2022,Qtr 2,June,3,12.50%
2022,Qtr 2,June,6,23.81%
2022,Qtr 2,June,7,0.00%
2022,Qtr 2,June,8,37.04%
2022,Qtr 2,June,9,0.00%
2022,Qtr 2,June,10,16.67%
2022,Qtr 2,June,13,2.44%
2022,Qtr 2,June,14,0.00%
2022,Qtr 2,June,15,15.00%
2022,Qtr 2,June,16,9.09%
2022,Qtr 2,June,17,4.00%
2022,Qtr 2,June,20,0.00%
2022,Qtr 2,June,21,9.09%
2022,Qtr 2,June,22,13.04%
2022,Qtr 2,June,23,13.64%
2022,Qtr 2,June,24,23.08%
2022,Qtr 2,June,27,11.76%
2022,Qtr 2,June,28,5.00%
2022,Qtr 2,June,29,8.33%
2022,Qtr 2,June,30,10.00%
2022,Qtr 3,July,1,0.00%
2022,Qtr 3,July,5,0.00%
2022,Qtr 3,July,6,13.04%
2022,Qtr 3,July,7,33.33%
2022,Qtr 3,July,8,0.00%
2022,Qtr 3,July,11,5.56%
2022,Qtr 3,July,12,11.11%
2022,Qtr 3,July,13,7.14%
2022,Qtr 3,July,14,0.00%
2022,Qtr 3,July,15,14.29%
2022,Qtr 3,July,18,14.29%
2022,Qtr 3,July,19,9.52%
2022,Qtr 3,July,20,7.69%
2022,Qtr 3,July,21,4.76%
2022,Qtr 3,July,22,15.38%
2022,Qtr 3,July,25,12.00%
2022,Qtr 3,July,26,0.00%
2022,Qtr 3,July,27,10.71%
2022,Qtr 3,July,28,10.00%
2022,Qtr 3,July,29,0.00%
2022,Qtr 3,August,1,0.00%
2022,Qtr 3,August,2,9.52%
2022,Qtr 3,August,3,5.88%
2022,Qtr 3,August,4,13.04%
2022,Qtr 3,August,5,11.11%
2022,Qtr 3,August,8,19.05%
2022,Qtr 3,August,9,4.55%
2022,Qtr 3,August,10,14.29%
2022,Qtr 3,August,11,10.00%
2022,Qtr 3,August,12,16.67%
2022,Qtr 3,August,15,8.89%
2022,Qtr 3,August,16,0.00%
2022,Qtr 3,August,17,15.00%
2022,Qtr 3,August,18,0.00%
2022,Qtr 3,August,19,20.00%
2022,Qtr 3,August,22,5.26%
2022,Qtr 3,August,23,4.76%
2022,Qtr 3,August,24,0.00%
2022,Qtr 3,August,25,11.76%
2022,Qtr 3,August,26,15.38%
2022,Qtr 3,August,29,0.00%
2022,Qtr 3,August,30,10.00%
2022,Qtr 3,August,31,12.82%
2022,Qtr 3,September,1,5.26%
2022,Qtr 3,September,2,0.00%
2022,Qtr 3,September,6,4.35%
2022,Qtr 3,September,7,12.50%
2022,Qtr 3,September,8,16.00%
2022,Qtr 3,September,9,0.00%
2022,Qtr 3,September,12,6.98%
2022,Qtr 3,September,13,0.00%
2022,Qtr 3,September,14,5.00%
2022,Qtr 3,September,15,6.67%
2022,Qtr 3,September,16,0.00%
2022,Qtr 3,September,18,0.00%
2022,Qtr 3,September,19,2.33%
2022,Qtr 3,September,20,9.68%
2022,Qtr 3,September,21,14.29%
2022,Qtr 3,September,22,12.50%
2022,Qtr 3,September,26,17.65%
2022,Qtr 3,September,27,10.71%
2022,Qtr 3,September,28,0.00%
2022,Qtr 3,September,29,25.00%
2022,Qtr 3,September,30,26.67%
2022,Qtr 4,October,3,21.62%
2022,Qtr 4,October,4,11.43%
2022,Qtr 4,October,5,18.18%
2022,Qtr 4,October,6,9.09%
2022,Qtr 4,October,7,3.57%
2022,Qtr 4,October,10,0.00%
2022,Qtr 4,October,11,22.22%
2022,Qtr 4,October,12,13.16%
2022,Qtr 4,October,13,21.05%
2022,Qtr 4,October,14,10.00%
2022,Qtr 4,October,17,10.34%
2022,Qtr 4,October,18,17.24%
2022,Qtr 4,October,19,7.41%
2022,Qtr 4,October,20,8.70%
2022,Qtr 4,October,21,0.00%
2022,Qtr 4,October,24,18.18%
2022,Qtr 4,October,25,19.05%
2022,Qtr 4,October,26,28.57%
2022,Qtr 4,October,27,5.26%
2022,Qtr 4,October,28,4.76%
2022,Qtr 4,October,31,3.70%
2022,Qtr 4,November,1,23.08%
2022,Qtr 4,November,2,34.48%
2022,Qtr 4,November,3,9.09%
2022,Qtr 4,November,4,4.00%
2022,Qtr 4,November,6,0.00%
2022,Qtr 4,November,7,20.59%
2022,Qtr 4,November,8,25.00%
2022,Qtr 4,November,9,4.35%
2022,Qtr 4,November,10,6.67%
2022,Qtr 4,November,14,5.88%
2022,Qtr 4,November,15,11.11%
2022,Qtr 4,November,16,0.00%
2022,Qtr 4,November,17,3.57%
2022,Qtr 4,November,18,6.25%
2022,Qtr 4,November,21,8.82%
2022,Qtr 4,November,22,0.00%
2022,Qtr 4,November,23,0.00%
2022,Qtr 4,November,28,11.11%
2022,Qtr 4,November,29,8.70%
2022,Qtr 4,November,30,15.38%
2022,Qtr 4,December,1,5.88%
2022,Qtr 4,December,2,5.88%
2022,Qtr 4,December,5,11.11%
2022,Qtr 4,December,6,17.65%
2022,Qtr 4,December,7,9.68%
2022,Qtr 4,December,8,4.76%
2022,Qtr 4,December,9,20.00%
2022,Qtr 4,December,12,25.00%
2022,Qtr 4,December,13,0.00%
2022,Qtr 4,December,14,8.70%
2022,Qtr 4,December,15,9.09%
2022,Qtr 4,December,16,15.79%
2022,Qtr 4,December,19,23.53%
2022,Qtr 4,December,20,15.00%
2022,Qtr 4,December,21,4.55%
2022,Qtr 4,December,22,0.00%
2022,Qtr 4,December,23,0.00%
2022,Qtr 4,December,27,0.00%
2022,Qtr 4,December,28,7.14%
2022,Qtr 4,December,29,0.00%
2022,Qtr 4,December,30,20.00%
2023,Qtr 1,January,3,8.70%
2023,Qtr 1,January,4,5.13%
2023,Qtr 1,January,5,0.00%
2023,Qtr 1,January,6,8.00%
2023,Qtr 1,January,9,16.00%
2023,Qtr 1,January,10,8.33%
2023,Qtr 1,January,11,12.90%
2023,Qtr 1,January,12,16.67%
2023,Qtr 1,January,13,0.00%
2023,Qtr 1,January,17,4.35%
2023,Qtr 1,January,18,11.11%
2023,Qtr 1,January,19,20.00%
2023,Qtr 1,January,20,8.33%
2023,Qtr 1,January,23,12.90%
2023,Qtr 1,January,24,9.76%
2023,Qtr 1,January,25,22.22%
2023,Qtr 1,January,26,14.29%
2023,Qtr 1,January,27,11.76%
2023,Qtr 1,January,30,7.41%
2023,Qtr 1,January,31,16.67%
2023,Qtr 1,February,1,20.00%
2023,Qtr 1,February,2,14.29%
2023,Qtr 1,February,3,6.25%
2023,Qtr 1,February,6,10.00%
2023,Qtr 1,February,7,8.82%
2023,Qtr 1,February,8,12.50%
2023,Qtr 1,February,9,4.35%
2023,Qtr 1,February,10,0.00%
2023,Qtr 1,February,14,12.00%
2023,Qtr 1,February,15,25.00%
2023,Qtr 1,February,16,25.00%
2023,Qtr 1,February,17,15.79%
2023,Qtr 1,February,21,4.55%
2023,Qtr 1,February,22,3.45%
2023,Qtr 1,February,23,3.70%
2023,Qtr 1,February,24,5.26%
2023,Qtr 1,February,27,11.11%
2023,Qtr 1,February,28,13.89%
2023,Qtr 1,March,1,14.71%
2023,Qtr 1,March,2,12.50%
2023,Qtr 1,March,3,11.11%
2023,Qtr 1,March,6,4.17%
2023,Qtr 1,March,7,4.17%
2023,Qtr 1,March,8,9.52%
2023,Qtr 1,March,9,9.68%
2023,Qtr 1,March,10,5.26%
2023,Qtr 1,March,13,5.41%
2023,Qtr 1,March,14,13.33%
2023,Qtr 1,March,15,26.09%
2023,Qtr 1,March,16,10.71%
2023,Qtr 1,March,17,8.33%
2023,Qtr 1,March,20,11.54%
2023,Qtr 1,March,21,12.00%
2023,Qtr 1,March,22,6.25%
2023,Qtr 1,March,23,5.00%
2023,Qtr 1,March,24,14.29%
2023,Qtr 1,March,27,6.06%
2023,Qtr 1,March,28,4.76%
2023,Qtr 1,March,29,26.32%
2023,Qtr 1,March,30,4.76%
2023,Qtr 2,April,3,13.64%
2023,Qtr 2,April,4,7.41%
2023,Qtr 2,April,5,21.21%
2023,Qtr 2,April,6,22.73%
2023,Qtr 2,April,7,10.53%
2023,Qtr 2,April,10,14.29%
2023,Qtr 2,April,11,20.00%
2023,Qtr 2,April,12,19.23%
2023,Qtr 2,April,13,8.70%
2023,Qtr 2,April,14,9.09%
2023,Qtr 2,April,17,8.33%
2023,Qtr 2,April,18,5.00%
2023,Qtr 2,April,19,5.00%
2023,Qtr 2,April,20,13.79%
2023,Qtr 2,April,21,11.76%
2023,Qtr 2,April,22,0.00%
2023,Qtr 2,April,24,20.00%
2023,Qtr 2,April,25,15.00%
2023,Qtr 2,April,26,33.33%
2023,Qtr 2,April,27,17.39%
2023,Qtr 2,April,28,4.00%
2023,Qtr 2,May,1,22.73%
2023,Qtr 2,May,2,20.00%
2023,Qtr 2,May,3,13.04%
2023,Qtr 2,May,4,9.09%
2023,Qtr 2,May,5,16.00%
2023,Qtr 2,May,7,0.00%
2023,Qtr 2,May,8,11.11%
2023,Qtr 2,May,9,16.67%
2023,Qtr 2,May,10,30.00%
2023,Qtr 2,May,11,13.33%
2023,Qtr 2,May,12,0.00%
2023,Qtr 2,May,15,17.50%
2023,Qtr 2,May,16,15.00%
2023,Qtr 2,May,17,15.79%
2023,Qtr 2,May,18,7.69%
2023,Qtr 2,May,19,0.00%
2023,Qtr 2,May,22,16.67%
2023,Qtr 2,May,23,0.00%
2023,Qtr 2,May,24,16.67%
2023,Qtr 2,May,25,16.67%
2023,Qtr 2,May,26,0.00%
2023,Qtr 2,May,30,30.00%
2023,Qtr 2,May,31,30.77%
2023,Qtr 2,June,1,25.00%
2023,Qtr 2,June,2,0.00%
2023,Qtr 2,June,5,7.14%
2023,Qtr 2,June,6,9.09%
2023,Qtr 2,June,7,30.43%
2023,Qtr 2,June,8,27.27%
2023,Qtr 2,June,9,33.33%
2023,Qtr 2,June,12,25.00%
2023,Qtr 2,June,13,16.67%
2023,Qtr 2,June,14,22.22%
2023,Qtr 2,June,15,9.52%
2023,Qtr 2,June,16,14.29%
2023,Qtr 2,June,20,0.00%
2023,Qtr 2,June,21,7.69%
2023,Qtr 2,June,22,7.14%
2023,Qtr 2,June,23,0.00%
2023,Qtr 2,June,26,6.25%
2023,Qtr 2,June,27,4.35%
2023,Qtr 2,June,28,14.29%
2023,Qtr 2,June,29,6.25%
2023,Qtr 2,June,30,0.00%
2023,Qtr 3,July,3,30.00%
2023,Qtr 3,July,5,9.09%
2023,Qtr 3,July,6,14.29%
2023,Qtr 3,July,7,8.33%
2023,Qtr 3,July,10,8.33%
2023,Qtr 3,July,11,25.00%
2023,Qtr 3,July,12,16.67%
2023,Qtr 3,July,13,7.69%
2023,Qtr 3,July,14,14.29%
2023,Qtr 3,July,17,3.85%
2023,Qtr 3,July,18,33.33%
2023,Qtr 3,July,19,14.71%
2023,Qtr 3,July,20,5.88%
2023,Qtr 3,July,21,14.29%
2023,Qtr 3,July,23,100.00%
2023,Qtr 3,July,24,12.50%
2023,Qtr 3,July,25,8.33%
2023,Qtr 3,July,26,14.29%
2023,Qtr 3,July,27,22.22%
2023,Qtr 3,July,28,20.00%
2023,Qtr 3,July,31,8.33%
2023,Qtr 3,August,1,7.14%
2023,Qtr 3,August,2,11.76%
2023,Qtr 3,August,3,0.00%
2023,Qtr 3,August,4,0.00%
2023,Qtr 3,August,7,4.35%
2023,Qtr 3,August,8,0.00%
2023,Qtr 3,August,9,8.33%
2023,Qtr 3,August,10,7.69%
2023,Qtr 3,August,11,0.00%
2023,Qtr 3,August,14,21.88%
2023,Qtr 3,August,15,28.57%
2023,Qtr 3,August,16,28.00%
2023,Qtr 3,August,17,5.26%
2023,Qtr 3,August,18,21.43%
2023,Qtr 3,August,21,32.14%
2023,Qtr 3,August,22,20.00%
2023,Qtr 3,August,23,20.00%
2023,Qtr 3,August,24,25.00%
2023,Qtr 3,August,25,7.69%
2023,Qtr 3,August,28,16.00%
2023,Qtr 3,August,29,16.67%
2023,Qtr 3,August,30,22.22%
2023,Qtr 3,August,31,6.67%
2023,Qtr 3,September,1,0.00%
2023,Qtr 3,September,5,0.00%
2023,Qtr 3,September,6,9.09%
2023,Qtr 3,September,7,5.26%
2023,Qtr 3,September,8,16.67%
2023,Qtr 3,September,11,23.08%
2023,Qtr 3,September,12,11.76%
2023,Qtr 3,September,13,21.05%
2023,Qtr 3,September,14,21.43%
2023,Qtr 3,September,15,6.25%
2023,Qtr 3,September,18,10.00%
2023,Qtr 3,September,19,0.00%
2023,Qtr 3,September,20,7.14%
2023,Qtr 3,September,21,12.50%
2023,Qtr 3,September,25,14.29%
2023,Qtr 3,September,26,15.38%
2023,Qtr 3,September,27,18.75%
2023,Qtr 3,September,28,46.15%
2023,Qtr 3,September,29,6.67%
2023,Qtr 4,October,2,12.50%
2023,Qtr 4,October,3,0.00%
2023,Qtr 4,October,4,40.91%
2023,Qtr 4,October,5,23.53%
2023,Qtr 4,October,6,8.33%
2023,Qtr 4,October,8,0.00%
2023,Qtr 4,October,9,0.00%
2023,Qtr 4,October,10,27.27%
2023,Qtr 4,October,11,15.00%
2023,Qtr 4,October,12,0.00%
2023,Qtr 4,October,13,6.67%
2023,Qtr 4,October,16,22.73%
2023,Qtr 4,October,17,5.88%
2023,Qtr 4,October,18,12.50%
2023,Qtr 4,October,19,25.00%
2023,Qtr 4,October,20,6.67%
2023,Qtr 4,October,23,18.75%
2023,Qtr 4,October,24,23.08%
2023,Qtr 4,October,25,17.65%
2023,Qtr 4,October,26,16.67%
2023,Qtr 4,October,27,0.00%
2023,Qtr 4,October,30,17.24%
2023,Qtr 4,October,31,0.00%
2023,Qtr 4,November,1,18.52%
2023,Qtr 4,November,2,6.67%
2023,Qtr 4,November,3,17.65%
2023,Qtr 4,November,6,15.63%
2023,Qtr 4,November,7,15.38%
2023,Qtr 4,November,8,12.50%
2023,Qtr 4,November,9,25.00%
2023,Qtr 4,November,12,0.00%
2023,Qtr 4,November,13,7.69%
2023,Qtr 4,November,14,5.56%
2023,Qtr 4,November,15,26.67%
2023,Qtr 4,November,16,9.09%
2023,Qtr 4,November,17,0.00%
2023,Qtr 4,November,20,22.22%
2023,Qtr 4,November,21,33.33%
2023,Qtr 4,November,22,28.57%
2023,Qtr 4,November,27,20.00%
2023,Qtr 4,November,28,12.50%
2023,Qtr 4,November,29,22.73%
2023,Qtr 4,November,30,10.53%
2023,Qtr 4,December,1,9.09%
2023,Qtr 4,December,4,3.45%
2023,Qtr 4,December,5,20.00%
2023,Qtr 4,December,6,15.00%
2023,Qtr 4,December,7,0.00%
2023,Qtr 4,December,8,0.00%
2023,Qtr 4,December,11,12.50%
2023,Qtr 4,December,12,15.00%
2023,Qtr 4,December,13,6.67%
2023,Qtr 4,December,14,37.50%
2023,Qtr 4,December,15,28.57%
2023,Qtr 4,December,18,36.36%
2023,Qtr 4,December,19,12.50%
2023,Qtr 4,December,20,0.00%
2023,Qtr 4,December,21,100.00%
2023,Qtr 4,December,22,66.67%
2023,Qtr 4,December,27,0.00%
2023,Qtr 4,December,28,0.00%
2023,Qtr 4,December,29,0.00%
