Year,Quarter,Month,Day,All Cases,Average of ARRAIGN_FELONY2_SORT
2017,Qtr 1,January,2,All Cases,60.00%
2017,Qtr 1,January,3,All Cases,24.39%
2017,Qtr 1,January,4,All Cases,16.95%
2017,Qtr 1,January,5,All Cases,28.26%
2017,Qtr 1,January,6,All Cases,16.36%
2017,Qtr 1,January,9,All Cases,22.12%
2017,Qtr 1,January,10,All Cases,19.32%
2017,Qtr 1,January,11,All Cases,21.32%
2017,Qtr 1,January,12,All Cases,9.60%
2017,Qtr 1,January,13,All Cases,23.47%
2017,Qtr 1,January,14,All Cases,0.00%
2017,Qtr 1,January,16,All Cases,66.67%
2017,Qtr 1,January,17,All Cases,21.71%
2017,Qtr 1,January,18,All Cases,19.86%
2017,Qtr 1,January,19,All Cases,16.83%
2017,Qtr 1,January,20,All Cases,22.78%
2017,Qtr 1,January,21,All Cases,75.00%
2017,Qtr 1,January,23,All Cases,17.31%
2017,Qtr 1,January,24,All Cases,15.53%
2017,Qtr 1,January,25,All Cases,18.60%
2017,Qtr 1,January,26,All Cases,18.32%
2017,Qtr 1,January,27,All Cases,16.33%
2017,Qtr 1,January,28,All Cases,0.00%
2017,Qtr 1,January,29,All Cases,66.67%
2017,Qtr 1,January,30,All Cases,18.32%
2017,Qtr 1,January,31,All Cases,15.67%
2017,Qtr 1,February,1,All Cases,17.14%
2017,Qtr 1,February,2,All Cases,15.63%
2017,Qtr 1,February,3,All Cases,16.85%
2017,Qtr 1,February,4,All Cases,0.00%
2017,Qtr 1,February,5,All Cases,33.33%
2017,Qtr 1,February,6,All Cases,26.37%
2017,Qtr 1,February,7,All Cases,19.81%
2017,Qtr 1,February,8,All Cases,21.49%
2017,Qtr 1,February,9,All Cases,17.69%
2017,Qtr 1,February,10,All Cases,17.32%
2017,Qtr 1,February,11,All Cases,0.00%
2017,Qtr 1,February,12,All Cases,83.33%
2017,Qtr 1,February,13,All Cases,10.59%
2017,Qtr 1,February,14,All Cases,24.66%
2017,Qtr 1,February,15,All Cases,27.93%
2017,Qtr 1,February,16,All Cases,20.45%
2017,Qtr 1,February,17,All Cases,26.17%
2017,Qtr 1,February,21,All Cases,24.39%
2017,Qtr 1,February,22,All Cases,27.05%
2017,Qtr 1,February,23,All Cases,24.44%
2017,Qtr 1,February,24,All Cases,23.53%
2017,Qtr 1,February,25,All Cases,0.00%
2017,Qtr 1,February,26,All Cases,0.00%
2017,Qtr 1,February,27,All Cases,13.39%
2017,Qtr 1,February,28,All Cases,26.90%
2017,Qtr 1,March,1,All Cases,19.35%
2017,Qtr 1,March,2,All Cases,17.45%
2017,Qtr 1,March,3,All Cases,8.00%
2017,Qtr 1,March,4,All Cases,100.00%
2017,Qtr 1,March,5,All Cases,33.33%
2017,Qtr 1,March,6,All Cases,19.72%
2017,Qtr 1,March,7,All Cases,24.77%
2017,Qtr 1,March,8,All Cases,12.59%
2017,Qtr 1,March,9,All Cases,17.50%
2017,Qtr 1,March,10,All Cases,28.83%
2017,Qtr 1,March,11,All Cases,25.00%
2017,Qtr 1,March,12,All Cases,0.00%
2017,Qtr 1,March,13,All Cases,21.08%
2017,Qtr 1,March,14,All Cases,18.24%
2017,Qtr 1,March,15,All Cases,19.12%
2017,Qtr 1,March,16,All Cases,16.81%
2017,Qtr 1,March,17,All Cases,11.90%
2017,Qtr 1,March,18,All Cases,16.67%
2017,Qtr 1,March,19,All Cases,0.00%
2017,Qtr 1,March,20,All Cases,19.73%
2017,Qtr 1,March,21,All Cases,24.56%
2017,Qtr 1,March,22,All Cases,22.50%
2017,Qtr 1,March,23,All Cases,22.86%
2017,Qtr 1,March,24,All Cases,19.33%
2017,Qtr 1,March,25,All Cases,0.00%
2017,Qtr 1,March,26,All Cases,37.50%
2017,Qtr 1,March,27,All Cases,18.33%
2017,Qtr 1,March,28,All Cases,17.69%
2017,Qtr 1,March,29,All Cases,11.02%
2017,Qtr 1,March,30,All Cases,19.79%
2017,Qtr 1,March,31,All Cases,3.13%
2017,Qtr 2,April,1,All Cases,7.69%
2017,Qtr 2,April,2,All Cases,0.00%
2017,Qtr 2,April,3,All Cases,20.28%
2017,Qtr 2,April,4,All Cases,17.84%
2017,Qtr 2,April,5,All Cases,14.71%
2017,Qtr 2,April,6,All Cases,32.14%
2017,Qtr 2,April,7,All Cases,13.91%
2017,Qtr 2,April,8,All Cases,0.00%
2017,Qtr 2,April,10,All Cases,8.19%
2017,Qtr 2,April,11,All Cases,27.63%
2017,Qtr 2,April,12,All Cases,14.94%
2017,Qtr 2,April,13,All Cases,26.09%
2017,Qtr 2,April,14,All Cases,19.32%
2017,Qtr 2,April,15,All Cases,100.00%
2017,Qtr 2,April,16,All Cases,0.00%
2017,Qtr 2,April,17,All Cases,14.96%
2017,Qtr 2,April,18,All Cases,13.79%
2017,Qtr 2,April,19,All Cases,11.11%
2017,Qtr 2,April,20,All Cases,14.97%
2017,Qtr 2,April,21,All Cases,8.05%
2017,Qtr 2,April,22,All Cases,0.00%
2017,Qtr 2,April,23,All Cases,0.00%
2017,Qtr 2,April,24,All Cases,16.18%
2017,Qtr 2,April,25,All Cases,13.25%
2017,Qtr 2,April,26,All Cases,14.56%
2017,Qtr 2,April,27,All Cases,20.35%
2017,Qtr 2,April,28,All Cases,11.70%
2017,Qtr 2,April,29,All Cases,0.00%
2017,Qtr 2,April,30,All Cases,0.00%
2017,Qtr 2,May,1,All Cases,8.42%
2017,Qtr 2,May,2,All Cases,22.46%
2017,Qtr 2,May,3,All Cases,10.19%
2017,Qtr 2,May,4,All Cases,13.04%
2017,Qtr 2,May,5,All Cases,12.50%
2017,Qtr 2,May,6,All Cases,0.00%
2017,Qtr 2,May,7,All Cases,33.33%
2017,Qtr 2,May,8,All Cases,16.29%
2017,Qtr 2,May,9,All Cases,19.41%
2017,Qtr 2,May,10,All Cases,19.05%
2017,Qtr 2,May,11,All Cases,13.29%
2017,Qtr 2,May,12,All Cases,10.19%
2017,Qtr 2,May,14,All Cases,0.00%
2017,Qtr 2,May,15,All Cases,12.50%
2017,Qtr 2,May,16,All Cases,18.25%
2017,Qtr 2,May,17,All Cases,14.92%
2017,Qtr 2,May,18,All Cases,9.93%
2017,Qtr 2,May,19,All Cases,10.56%
2017,Qtr 2,May,22,All Cases,16.26%
2017,Qtr 2,May,23,All Cases,21.88%
2017,Qtr 2,May,24,All Cases,16.26%
2017,Qtr 2,May,25,All Cases,15.29%
2017,Qtr 2,May,26,All Cases,12.40%
2017,Qtr 2,May,29,All Cases,0.00%
2017,Qtr 2,May,30,All Cases,16.55%
2017,Qtr 2,May,31,All Cases,17.39%
2017,Qtr 2,June,1,All Cases,18.75%
2017,Qtr 2,June,2,All Cases,18.56%
2017,Qtr 2,June,3,All Cases,0.00%
2017,Qtr 2,June,4,All Cases,0.00%
2017,Qtr 2,June,5,All Cases,14.46%
2017,Qtr 2,June,6,All Cases,21.52%
2017,Qtr 2,June,7,All Cases,14.89%
2017,Qtr 2,June,8,All Cases,14.63%
2017,Qtr 2,June,9,All Cases,9.17%
2017,Qtr 2,June,10,All Cases,0.00%
2017,Qtr 2,June,11,All Cases,28.57%
2017,Qtr 2,June,12,All Cases,15.38%
2017,Qtr 2,June,13,All Cases,17.39%
2017,Qtr 2,June,14,All Cases,20.73%
2017,Qtr 2,June,15,All Cases,23.17%
2017,Qtr 2,June,16,All Cases,21.36%
2017,Qtr 2,June,17,All Cases,0.00%
2017,Qtr 2,June,18,All Cases,0.00%
2017,Qtr 2,June,19,All Cases,23.57%
2017,Qtr 2,June,20,All Cases,14.44%
2017,Qtr 2,June,21,All Cases,14.29%
2017,Qtr 2,June,22,All Cases,19.18%
2017,Qtr 2,June,23,All Cases,10.92%
2017,Qtr 2,June,24,All Cases,0.00%
2017,Qtr 2,June,25,All Cases,0.00%
2017,Qtr 2,June,26,All Cases,18.18%
2017,Qtr 2,June,27,All Cases,20.90%
2017,Qtr 2,June,28,All Cases,21.50%
2017,Qtr 2,June,29,All Cases,17.39%
2017,Qtr 2,June,30,All Cases,17.78%
2017,Qtr 3,July,1,All Cases,0.00%
2017,Qtr 3,July,2,All Cases,0.00%
2017,Qtr 3,July,3,All Cases,21.19%
2017,Qtr 3,July,5,All Cases,25.40%
2017,Qtr 3,July,6,All Cases,16.55%
2017,Qtr 3,July,7,All Cases,16.30%
2017,Qtr 3,July,8,All Cases,0.00%
2017,Qtr 3,July,10,All Cases,10.07%
2017,Qtr 3,July,11,All Cases,16.86%
2017,Qtr 3,July,12,All Cases,15.82%
2017,Qtr 3,July,13,All Cases,20.43%
2017,Qtr 3,July,14,All Cases,14.58%
2017,Qtr 3,July,17,All Cases,8.76%
2017,Qtr 3,July,18,All Cases,14.57%
2017,Qtr 3,July,19,All Cases,18.02%
2017,Qtr 3,July,20,All Cases,16.52%
2017,Qtr 3,July,21,All Cases,21.05%
2017,Qtr 3,July,23,All Cases,100.00%
2017,Qtr 3,July,24,All Cases,18.42%
2017,Qtr 3,July,25,All Cases,12.36%
2017,Qtr 3,July,26,All Cases,14.41%
2017,Qtr 3,July,27,All Cases,12.73%
2017,Qtr 3,July,28,All Cases,13.51%
2017,Qtr 3,July,30,All Cases,0.00%
2017,Qtr 3,July,31,All Cases,15.92%
2017,Qtr 3,August,1,All Cases,22.73%
2017,Qtr 3,August,2,All Cases,11.97%
2017,Qtr 3,August,3,All Cases,29.25%
2017,Qtr 3,August,4,All Cases,23.38%
2017,Qtr 3,August,5,All Cases,0.00%
2017,Qtr 3,August,6,All Cases,0.00%
2017,Qtr 3,August,7,All Cases,20.00%
2017,Qtr 3,August,8,All Cases,12.82%
2017,Qtr 3,August,9,All Cases,19.17%
2017,Qtr 3,August,10,All Cases,21.57%
2017,Qtr 3,August,11,All Cases,6.86%
2017,Qtr 3,August,12,All Cases,20.00%
2017,Qtr 3,August,13,All Cases,0.00%
2017,Qtr 3,August,14,All Cases,15.58%
2017,Qtr 3,August,15,All Cases,17.06%
2017,Qtr 3,August,16,All Cases,22.70%
2017,Qtr 3,August,17,All Cases,23.00%
2017,Qtr 3,August,18,All Cases,22.33%
2017,Qtr 3,August,19,All Cases,14.29%
2017,Qtr 3,August,21,All Cases,14.29%
2017,Qtr 3,August,22,All Cases,12.59%
2017,Qtr 3,August,23,All Cases,21.48%
2017,Qtr 3,August,24,All Cases,18.97%
2017,Qtr 3,August,25,All Cases,17.05%
2017,Qtr 3,August,27,All Cases,0.00%
2017,Qtr 3,August,28,All Cases,14.79%
2017,Qtr 3,August,29,All Cases,18.06%
2017,Qtr 3,August,30,All Cases,17.36%
2017,Qtr 3,August,31,All Cases,19.44%
2017,Qtr 3,September,1,All Cases,33.33%
2017,Qtr 3,September,5,All Cases,16.03%
2017,Qtr 3,September,6,All Cases,24.11%
2017,Qtr 3,September,7,All Cases,11.63%
2017,Qtr 3,September,8,All Cases,20.20%
2017,Qtr 3,September,9,All Cases,0.00%
2017,Qtr 3,September,11,All Cases,14.57%
2017,Qtr 3,September,12,All Cases,16.00%
2017,Qtr 3,September,13,All Cases,18.71%
2017,Qtr 3,September,14,All Cases,20.57%
2017,Qtr 3,September,15,All Cases,15.38%
2017,Qtr 3,September,16,All Cases,0.00%
2017,Qtr 3,September,17,All Cases,50.00%
2017,Qtr 3,September,18,All Cases,11.76%
2017,Qtr 3,September,19,All Cases,13.92%
2017,Qtr 3,September,20,All Cases,9.80%
2017,Qtr 3,September,21,All Cases,14.74%
2017,Qtr 3,September,22,All Cases,20.49%
2017,Qtr 3,September,23,All Cases,9.09%
2017,Qtr 3,September,24,All Cases,50.00%
2017,Qtr 3,September,25,All Cases,12.75%
2017,Qtr 3,September,26,All Cases,20.56%
2017,Qtr 3,September,27,All Cases,16.67%
2017,Qtr 3,September,28,All Cases,24.35%
2017,Qtr 3,September,29,All Cases,14.84%
2017,Qtr 3,September,30,All Cases,0.00%
2017,Qtr 4,October,1,All Cases,0.00%
2017,Qtr 4,October,2,All Cases,22.22%
2017,Qtr 4,October,3,All Cases,18.05%
2017,Qtr 4,October,4,All Cases,18.37%
2017,Qtr 4,October,5,All Cases,15.75%
2017,Qtr 4,October,6,All Cases,15.46%
2017,Qtr 4,October,9,All Cases,0.00%
2017,Qtr 4,October,10,All Cases,15.50%
2017,Qtr 4,October,11,All Cases,18.05%
2017,Qtr 4,October,12,All Cases,12.90%
2017,Qtr 4,October,13,All Cases,28.09%
2017,Qtr 4,October,14,All Cases,71.43%
2017,Qtr 4,October,15,All Cases,7.69%
2017,Qtr 4,October,16,All Cases,9.76%
2017,Qtr 4,October,17,All Cases,16.94%
2017,Qtr 4,October,18,All Cases,14.10%
2017,Qtr 4,October,19,All Cases,18.66%
2017,Qtr 4,October,20,All Cases,6.29%
2017,Qtr 4,October,21,All Cases,0.00%
2017,Qtr 4,October,22,All Cases,0.00%
2017,Qtr 4,October,23,All Cases,18.18%
2017,Qtr 4,October,24,All Cases,15.17%
2017,Qtr 4,October,25,All Cases,12.20%
2017,Qtr 4,October,26,All Cases,10.65%
2017,Qtr 4,October,27,All Cases,13.16%
2017,Qtr 4,October,28,All Cases,0.00%
2017,Qtr 4,October,29,All Cases,0.00%
2017,Qtr 4,October,30,All Cases,15.23%
2017,Qtr 4,October,31,All Cases,19.09%
2017,Qtr 4,November,1,All Cases,17.42%
2017,Qtr 4,November,2,All Cases,20.66%
2017,Qtr 4,November,3,All Cases,22.02%
2017,Qtr 4,November,4,All Cases,50.00%
2017,Qtr 4,November,5,All Cases,0.00%
2017,Qtr 4,November,6,All Cases,10.98%
2017,Qtr 4,November,7,All Cases,12.57%
2017,Qtr 4,November,8,All Cases,19.46%
2017,Qtr 4,November,9,All Cases,14.62%
2017,Qtr 4,November,10,All Cases,14.29%
2017,Qtr 4,November,11,All Cases,0.00%
2017,Qtr 4,November,12,All Cases,0.00%
2017,Qtr 4,November,13,All Cases,12.66%
2017,Qtr 4,November,14,All Cases,19.85%
2017,Qtr 4,November,15,All Cases,13.51%
2017,Qtr 4,November,16,All Cases,20.00%
2017,Qtr 4,November,17,All Cases,19.83%
2017,Qtr 4,November,19,All Cases,16.67%
2017,Qtr 4,November,20,All Cases,9.71%
2017,Qtr 4,November,21,All Cases,25.16%
2017,Qtr 4,November,22,All Cases,12.73%
2017,Qtr 4,November,24,All Cases,0.00%
2017,Qtr 4,November,25,All Cases,0.00%
2017,Qtr 4,November,26,All Cases,0.00%
2017,Qtr 4,November,27,All Cases,22.67%
2017,Qtr 4,November,28,All Cases,20.42%
2017,Qtr 4,November,29,All Cases,19.13%
2017,Qtr 4,November,30,All Cases,14.55%
2017,Qtr 4,December,1,All Cases,17.86%
2017,Qtr 4,December,2,All Cases,30.00%
2017,Qtr 4,December,3,All Cases,0.00%
2017,Qtr 4,December,4,All Cases,12.77%
2017,Qtr 4,December,5,All Cases,15.32%
2017,Qtr 4,December,6,All Cases,18.59%
2017,Qtr 4,December,7,All Cases,18.42%
2017,Qtr 4,December,8,All Cases,16.67%
2017,Qtr 4,December,9,All Cases,0.00%
2017,Qtr 4,December,11,All Cases,10.71%
2017,Qtr 4,December,12,All Cases,13.11%
2017,Qtr 4,December,13,All Cases,14.50%
2017,Qtr 4,December,14,All Cases,18.18%
2017,Qtr 4,December,15,All Cases,24.44%
2017,Qtr 4,December,16,All Cases,0.00%
2017,Qtr 4,December,18,All Cases,19.85%
2017,Qtr 4,December,19,All Cases,17.50%
2017,Qtr 4,December,20,All Cases,14.63%
2017,Qtr 4,December,21,All Cases,20.12%
2017,Qtr 4,December,22,All Cases,7.08%
2017,Qtr 4,December,23,All Cases,3.57%
2017,Qtr 4,December,24,All Cases,0.00%
2017,Qtr 4,December,26,All Cases,21.84%
2017,Qtr 4,December,27,All Cases,23.21%
2017,Qtr 4,December,28,All Cases,17.35%
2017,Qtr 4,December,29,All Cases,15.38%
2017,Qtr 4,December,31,All Cases,0.00%
2018,Qtr 1,January,2,All Cases,17.39%
2018,Qtr 1,January,3,All Cases,14.89%
2018,Qtr 1,January,4,All Cases,20.80%
2018,Qtr 1,January,5,All Cases,10.94%
2018,Qtr 1,January,6,All Cases,0.00%
2018,Qtr 1,January,7,All Cases,100.00%
2018,Qtr 1,January,8,All Cases,12.00%
2018,Qtr 1,January,9,All Cases,20.00%
2018,Qtr 1,January,10,All Cases,19.05%
2018,Qtr 1,January,11,All Cases,22.14%
2018,Qtr 1,January,12,All Cases,21.21%
2018,Qtr 1,January,13,All Cases,0.00%
2018,Qtr 1,January,16,All Cases,19.46%
2018,Qtr 1,January,17,All Cases,14.92%
2018,Qtr 1,January,18,All Cases,19.27%
2018,Qtr 1,January,19,All Cases,17.74%
2018,Qtr 1,January,20,All Cases,0.00%
2018,Qtr 1,January,22,All Cases,17.48%
2018,Qtr 1,January,23,All Cases,20.27%
2018,Qtr 1,January,24,All Cases,11.41%
2018,Qtr 1,January,25,All Cases,16.89%
2018,Qtr 1,January,26,All Cases,8.33%
2018,Qtr 1,January,27,All Cases,6.67%
2018,Qtr 1,January,29,All Cases,14.57%
2018,Qtr 1,January,30,All Cases,17.14%
2018,Qtr 1,January,31,All Cases,17.00%
2018,Qtr 1,February,1,All Cases,16.22%
2018,Qtr 1,February,2,All Cases,11.81%
2018,Qtr 1,February,3,All Cases,0.00%
2018,Qtr 1,February,5,All Cases,16.22%
2018,Qtr 1,February,6,All Cases,16.87%
2018,Qtr 1,February,7,All Cases,21.09%
2018,Qtr 1,February,8,All Cases,12.88%
2018,Qtr 1,February,9,All Cases,10.56%
2018,Qtr 1,February,10,All Cases,0.00%
2018,Qtr 1,February,11,All Cases,7.69%
2018,Qtr 1,February,12,All Cases,12.73%
2018,Qtr 1,February,13,All Cases,16.81%
2018,Qtr 1,February,14,All Cases,20.63%
2018,Qtr 1,February,15,All Cases,22.50%
2018,Qtr 1,February,16,All Cases,14.19%
2018,Qtr 1,February,17,All Cases,0.00%
2018,Qtr 1,February,19,All Cases,0.00%
2018,Qtr 1,February,20,All Cases,21.23%
2018,Qtr 1,February,21,All Cases,24.49%
2018,Qtr 1,February,22,All Cases,15.65%
2018,Qtr 1,February,23,All Cases,16.81%
2018,Qtr 1,February,24,All Cases,0.00%
2018,Qtr 1,February,25,All Cases,25.00%
2018,Qtr 1,February,26,All Cases,20.39%
2018,Qtr 1,February,27,All Cases,13.89%
2018,Qtr 1,February,28,All Cases,12.88%
2018,Qtr 1,March,1,All Cases,13.50%
2018,Qtr 1,March,2,All Cases,16.81%
2018,Qtr 1,March,3,All Cases,0.00%
2018,Qtr 1,March,4,All Cases,9.09%
2018,Qtr 1,March,5,All Cases,15.48%
2018,Qtr 1,March,6,All Cases,25.58%
2018,Qtr 1,March,7,All Cases,21.43%
2018,Qtr 1,March,8,All Cases,9.62%
2018,Qtr 1,March,9,All Cases,4.73%
2018,Qtr 1,March,10,All Cases,0.00%
2018,Qtr 1,March,11,All Cases,0.00%
2018,Qtr 1,March,12,All Cases,10.64%
2018,Qtr 1,March,13,All Cases,16.44%
2018,Qtr 1,March,14,All Cases,21.00%
2018,Qtr 1,March,15,All Cases,23.71%
2018,Qtr 1,March,16,All Cases,16.13%
2018,Qtr 1,March,18,All Cases,4.35%
2018,Qtr 1,March,19,All Cases,16.33%
2018,Qtr 1,March,20,All Cases,20.28%
2018,Qtr 1,March,21,All Cases,17.46%
2018,Qtr 1,March,22,All Cases,24.80%
2018,Qtr 1,March,23,All Cases,20.00%
2018,Qtr 1,March,25,All Cases,0.00%
2018,Qtr 1,March,26,All Cases,14.29%
2018,Qtr 1,March,27,All Cases,13.14%
2018,Qtr 1,March,28,All Cases,22.55%
2018,Qtr 1,March,29,All Cases,23.46%
2018,Qtr 1,March,30,All Cases,5.56%
2018,Qtr 2,April,1,All Cases,0.00%
2018,Qtr 2,April,2,All Cases,13.28%
2018,Qtr 2,April,3,All Cases,22.00%
2018,Qtr 2,April,4,All Cases,9.90%
2018,Qtr 2,April,5,All Cases,15.67%
2018,Qtr 2,April,6,All Cases,13.74%
2018,Qtr 2,April,7,All Cases,0.00%
2018,Qtr 2,April,8,All Cases,7.69%
2018,Qtr 2,April,9,All Cases,12.00%
2018,Qtr 2,April,10,All Cases,17.74%
2018,Qtr 2,April,11,All Cases,13.99%
2018,Qtr 2,April,12,All Cases,19.73%
2018,Qtr 2,April,13,All Cases,12.88%
2018,Qtr 2,April,14,All Cases,0.00%
2018,Qtr 2,April,15,All Cases,0.00%
2018,Qtr 2,April,16,All Cases,15.15%
2018,Qtr 2,April,17,All Cases,25.32%
2018,Qtr 2,April,18,All Cases,14.16%
2018,Qtr 2,April,19,All Cases,14.63%
2018,Qtr 2,April,20,All Cases,17.11%
2018,Qtr 2,April,21,All Cases,0.00%
2018,Qtr 2,April,22,All Cases,0.00%
2018,Qtr 2,April,23,All Cases,17.98%
2018,Qtr 2,April,24,All Cases,28.04%
2018,Qtr 2,April,25,All Cases,22.82%
2018,Qtr 2,April,26,All Cases,22.55%
2018,Qtr 2,April,27,All Cases,10.85%
2018,Qtr 2,April,28,All Cases,12.50%
2018,Qtr 2,April,29,All Cases,0.00%
2018,Qtr 2,April,30,All Cases,19.19%
2018,Qtr 2,May,1,All Cases,15.38%
2018,Qtr 2,May,2,All Cases,19.19%
2018,Qtr 2,May,3,All Cases,16.53%
2018,Qtr 2,May,4,All Cases,11.83%
2018,Qtr 2,May,5,All Cases,0.00%
2018,Qtr 2,May,6,All Cases,0.00%
2018,Qtr 2,May,7,All Cases,12.08%
2018,Qtr 2,May,8,All Cases,18.55%
2018,Qtr 2,May,9,All Cases,12.80%
2018,Qtr 2,May,10,All Cases,16.83%
2018,Qtr 2,May,11,All Cases,25.61%
2018,Qtr 2,May,12,All Cases,30.00%
2018,Qtr 2,May,13,All Cases,27.27%
2018,Qtr 2,May,14,All Cases,9.20%
2018,Qtr 2,May,15,All Cases,15.60%
2018,Qtr 2,May,16,All Cases,21.88%
2018,Qtr 2,May,17,All Cases,17.65%
2018,Qtr 2,May,18,All Cases,26.83%
2018,Qtr 2,May,20,All Cases,0.00%
2018,Qtr 2,May,21,All Cases,12.66%
2018,Qtr 2,May,22,All Cases,19.12%
2018,Qtr 2,May,23,All Cases,14.48%
2018,Qtr 2,May,24,All Cases,19.84%
2018,Qtr 2,May,25,All Cases,17.19%
2018,Qtr 2,May,26,All Cases,0.00%
2018,Qtr 2,May,27,All Cases,0.00%
2018,Qtr 2,May,28,All Cases,0.00%
2018,Qtr 2,May,29,All Cases,11.22%
2018,Qtr 2,May,30,All Cases,14.10%
2018,Qtr 2,May,31,All Cases,23.70%
2018,Qtr 2,June,1,All Cases,17.78%
2018,Qtr 2,June,2,All Cases,0.00%
2018,Qtr 2,June,4,All Cases,18.47%
2018,Qtr 2,June,5,All Cases,16.11%
2018,Qtr 2,June,6,All Cases,22.64%
2018,Qtr 2,June,7,All Cases,17.82%
2018,Qtr 2,June,8,All Cases,14.78%
2018,Qtr 2,June,9,All Cases,0.00%
2018,Qtr 2,June,11,All Cases,15.23%
2018,Qtr 2,June,12,All Cases,17.65%
2018,Qtr 2,June,13,All Cases,23.08%
2018,Qtr 2,June,14,All Cases,15.69%
2018,Qtr 2,June,15,All Cases,18.37%
2018,Qtr 2,June,16,All Cases,0.00%
2018,Qtr 2,June,17,All Cases,28.57%
2018,Qtr 2,June,18,All Cases,13.89%
2018,Qtr 2,June,19,All Cases,22.39%
2018,Qtr 2,June,20,All Cases,21.48%
