Year,Quarter,Month,Day,Number of Cases
2021,Qtr 4,October,26,23
2021,Qtr 4,October,27,9
2021,Qtr 4,October,28,13
2021,Qtr 4,October,29,10
2021,Qtr 4,October,30,4
2021,Qtr 4,October,31,18
2021,Qtr 4,November,1,23
2021,Qtr 4,November,2,11
2021,Qtr 4,November,3,7
2021,Qtr 4,November,4,22
2021,Qtr 4,November,5,11
2021,Qtr 4,November,6,8
2021,Qtr 4,November,7,13
2021,Qtr 4,November,8,21
2021,Qtr 4,November,9,10
2021,Qtr 4,November,10,11
2021,Qtr 4,November,11,4
2021,Qtr 4,November,12,23
2021,Qtr 4,November,13,2
2021,Qtr 4,November,14,15
2021,Qtr 4,November,15,23
2021,Qtr 4,November,16,17
2021,Qtr 4,November,17,7
2021,Qtr 4,November,18,16
2021,Qtr 4,November,19,9
2021,Qtr 4,November,20,13
2021,Qtr 4,November,21,3
2021,Qtr 4,November,22,29
2021,Qtr 4,November,23,18
2021,Qtr 4,November,24,7
2021,Qtr 4,November,27,3
2021,Qtr 4,November,28,15
2021,Qtr 4,November,29,31
2021,Qtr 4,November,30,28
2021,Qtr 4,December,1,14
2021,Qtr 4,December,2,6
2021,Qtr 4,December,3,9
2021,Qtr 4,December,4,9
2021,Qtr 4,December,5,10
2021,Qtr 4,December,6,21
2021,Qtr 4,December,7,16
2021,Qtr 4,December,8,9
2021,Qtr 4,December,9,12
2021,Qtr 4,December,10,12
2021,Qtr 4,December,11,10
2021,Qtr 4,December,12,1
2021,Qtr 4,December,13,17
2021,Qtr 4,December,14,14
2021,Qtr 4,December,15,5
2021,Qtr 4,December,16,7
2021,Qtr 4,December,17,10
2021,Qtr 4,December,18,3
2021,Qtr 4,December,19,5
2021,Qtr 4,December,20,14
2021,Qtr 4,December,21,10
2021,Qtr 4,December,22,8
2021,Qtr 4,December,23,10
2021,Qtr 4,December,24,1
2021,Qtr 4,December,27,13
2021,Qtr 4,December,28,20
2021,Qtr 4,December,29,9
2021,Qtr 4,December,30,7
2022,Qtr 1,January,2,6
2022,Qtr 1,January,3,22
2022,Qtr 1,January,4,11
2022,Qtr 1,January,5,19
2022,Qtr 1,January,6,15
2022,Qtr 1,January,7,9
2022,Qtr 1,January,8,1
2022,Qtr 1,January,9,12
2022,Qtr 1,January,10,24
2022,Qtr 1,January,11,16
2022,Qtr 1,January,12,13
2022,Qtr 1,January,13,12
2022,Qtr 1,January,14,13
2022,Qtr 1,January,15,18
2022,Qtr 1,January,16,11
2022,Qtr 1,January,17,5
2022,Qtr 1,January,18,21
2022,Qtr 1,January,19,23
2022,Qtr 1,January,20,9
2022,Qtr 1,January,21,13
2022,Qtr 1,January,22,15
2022,Qtr 1,January,23,4
2022,Qtr 1,January,24,17
2022,Qtr 1,January,25,15
2022,Qtr 1,January,26,23
2022,Qtr 1,January,27,15
2022,Qtr 1,January,28,17
2022,Qtr 1,January,29,5
2022,Qtr 1,January,30,1
2022,Qtr 1,January,31,16
2022,Qtr 1,February,1,22
2022,Qtr 1,February,2,11
2022,Qtr 1,February,3,19
2022,Qtr 1,February,4,20
2022,Qtr 1,February,5,5
2022,Qtr 1,February,6,1
2022,Qtr 1,February,7,27
2022,Qtr 1,February,8,15
2022,Qtr 1,February,9,14
2022,Qtr 1,February,10,14
2022,Qtr 1,February,11,13
2022,Qtr 1,February,14,20
2022,Qtr 1,February,15,23
2022,Qtr 1,February,16,8
2022,Qtr 1,February,17,17
2022,Qtr 1,February,18,5
2022,Qtr 1,February,19,13
2022,Qtr 1,February,20,3
2022,Qtr 1,February,22,12
2022,Qtr 1,February,23,21
2022,Qtr 1,February,24,17
2022,Qtr 1,February,25,11
2022,Qtr 1,February,26,12
2022,Qtr 1,February,27,14
2022,Qtr 1,February,28,22
2022,Qtr 1,March,1,22
2022,Qtr 1,March,2,16
2022,Qtr 1,March,3,18
2022,Qtr 1,March,4,15
2022,Qtr 1,March,5,19
2022,Qtr 1,March,6,9
2022,Qtr 1,March,7,29
2022,Qtr 1,March,8,9
2022,Qtr 1,March,9,13
2022,Qtr 1,March,10,13
2022,Qtr 1,March,11,20
2022,Qtr 1,March,12,7
2022,Qtr 1,March,13,1
2022,Qtr 1,March,14,21
2022,Qtr 1,March,15,23
2022,Qtr 1,March,16,16
2022,Qtr 1,March,17,15
2022,Qtr 1,March,18,28
2022,Qtr 1,March,19,8
2022,Qtr 1,March,20,4
2022,Qtr 1,March,21,25
2022,Qtr 1,March,22,21
2022,Qtr 1,March,23,16
2022,Qtr 1,March,24,13
2022,Qtr 1,March,25,24
2022,Qtr 1,March,26,6
2022,Qtr 1,March,27,3
2022,Qtr 1,March,28,22
2022,Qtr 1,March,29,19
2022,Qtr 1,March,30,6
2022,Qtr 1,March,31,1
2022,Qtr 2,April,1,14
2022,Qtr 2,April,2,1
2022,Qtr 2,April,3,7
2022,Qtr 2,April,4,29
2022,Qtr 2,April,5,29
2022,Qtr 2,April,6,13
2022,Qtr 2,April,7,21
2022,Qtr 2,April,8,7
2022,Qtr 2,April,11,29
2022,Qtr 2,April,12,17
2022,Qtr 2,April,13,20
2022,Qtr 2,April,14,17
2022,Qtr 2,April,15,6
2022,Qtr 2,April,17,4
2022,Qtr 2,April,18,23
2022,Qtr 2,April,19,26
2022,Qtr 2,April,20,23
2022,Qtr 2,April,21,17
2022,Qtr 2,April,22,11
2022,Qtr 2,April,23,3
2022,Qtr 2,April,24,4
2022,Qtr 2,April,25,23
2022,Qtr 2,April,26,26
2022,Qtr 2,April,27,23
2022,Qtr 2,April,28,19
2022,Qtr 2,April,29,16
2022,Qtr 2,April,30,14
2022,Qtr 2,May,1,5
2022,Qtr 2,May,2,32
2022,Qtr 2,May,3,27
2022,Qtr 2,May,4,16
2022,Qtr 2,May,5,12
2022,Qtr 2,May,6,14
2022,Qtr 2,May,7,9
2022,Qtr 2,May,9,22
2022,Qtr 2,May,10,22
2022,Qtr 2,May,11,11
2022,Qtr 2,May,12,19
2022,Qtr 2,May,13,14
2022,Qtr 2,May,14,15
2022,Qtr 2,May,15,7
2022,Qtr 2,May,16,24
2022,Qtr 2,May,17,22
2022,Qtr 2,May,18,13
2022,Qtr 2,May,19,15
2022,Qtr 2,May,20,13
2022,Qtr 2,May,21,6
2022,Qtr 2,May,22,9
2022,Qtr 2,May,23,33
2022,Qtr 2,May,24,19
2022,Qtr 2,May,25,15
2022,Qtr 2,May,26,13
2022,Qtr 2,May,27,12
2022,Qtr 2,May,28,4
2022,Qtr 2,May,29,1
2022,Qtr 2,May,30,3
2022,Qtr 2,May,31,32
2022,Qtr 2,June,1,13
2022,Qtr 2,June,2,18
2022,Qtr 2,June,3,10
2022,Qtr 2,June,4,5
2022,Qtr 2,June,5,9
2022,Qtr 2,June,6,27
2022,Qtr 2,June,7,25
2022,Qtr 2,June,8,36
2022,Qtr 2,June,9,27
2022,Qtr 2,June,10,10
2022,Qtr 2,June,11,4
2022,Qtr 2,June,12,18
2022,Qtr 2,June,13,21
2022,Qtr 2,June,14,23
2022,Qtr 2,June,15,15
2022,Qtr 2,June,16,16
2022,Qtr 2,June,17,12
2022,Qtr 2,June,18,7
2022,Qtr 2,June,19,2
2022,Qtr 2,June,20,13
2022,Qtr 2,June,21,29
2022,Qtr 2,June,22,8
2022,Qtr 2,June,23,18
2022,Qtr 2,June,24,25
2022,Qtr 2,June,25,1
2022,Qtr 2,June,26,1
2022,Qtr 2,June,27,24
2022,Qtr 2,June,28,28
2022,Qtr 2,June,29,21
2022,Qtr 2,June,30,14
2022,Qtr 3,July,1,29
2022,Qtr 3,July,2,3
2022,Qtr 3,July,3,3
2022,Qtr 3,July,5,27
2022,Qtr 3,July,6,27
2022,Qtr 3,July,7,16
2022,Qtr 3,July,8,19
2022,Qtr 3,July,9,2
2022,Qtr 3,July,10,10
2022,Qtr 3,July,11,27
2022,Qtr 3,July,12,32
2022,Qtr 3,July,13,19
2022,Qtr 3,July,14,22
2022,Qtr 3,July,15,20
2022,Qtr 3,July,16,1
2022,Qtr 3,July,18,25
2022,Qtr 3,July,19,33
2022,Qtr 3,July,20,12
2022,Qtr 3,July,21,19
2022,Qtr 3,July,22,9
2022,Qtr 3,July,23,1
2022,Qtr 3,July,25,21
2022,Qtr 3,July,26,27
2022,Qtr 3,July,27,17
2022,Qtr 3,July,28,21
2022,Qtr 3,July,29,9
2022,Qtr 3,August,1,24
2022,Qtr 3,August,2,43
2022,Qtr 3,August,3,15
2022,Qtr 3,August,4,19
2022,Qtr 3,August,5,14
2022,Qtr 3,August,8,21
2022,Qtr 3,August,9,32
2022,Qtr 3,August,10,25
2022,Qtr 3,August,11,16
2022,Qtr 3,August,12,10
2022,Qtr 3,August,15,30
2022,Qtr 3,August,16,19
2022,Qtr 3,August,17,19
2022,Qtr 3,August,18,16
2022,Qtr 3,August,19,18
2022,Qtr 3,August,20,6
2022,Qtr 3,August,21,7
2022,Qtr 3,August,22,30
2022,Qtr 3,August,23,22
2022,Qtr 3,August,24,18
2022,Qtr 3,August,25,16
2022,Qtr 3,August,26,25
2022,Qtr 3,August,27,2
2022,Qtr 3,August,28,5
2022,Qtr 3,August,29,33
2022,Qtr 3,August,30,39
2022,Qtr 3,August,31,16
2022,Qtr 3,September,1,30
2022,Qtr 3,September,2,16
2022,Qtr 3,September,3,3
2022,Qtr 3,September,6,36
2022,Qtr 3,September,7,20
2022,Qtr 3,September,8,10
2022,Qtr 3,September,9,11
2022,Qtr 3,September,12,30
2022,Qtr 3,September,13,23
2022,Qtr 3,September,14,13
2022,Qtr 3,September,15,23
2022,Qtr 3,September,16,14
2022,Qtr 3,September,17,11
2022,Qtr 3,September,18,3
2022,Qtr 3,September,19,31
2022,Qtr 3,September,20,17
2022,Qtr 3,September,21,9
2022,Qtr 3,September,22,12
2022,Qtr 3,September,23,23
2022,Qtr 3,September,24,2
2022,Qtr 3,September,25,2
2022,Qtr 3,September,26,27
2022,Qtr 3,September,27,24
2022,Qtr 3,September,28,10
2022,Qtr 3,September,29,19
2022,Qtr 3,September,30,10
2022,Qtr 4,October,1,10
2022,Qtr 4,October,3,32
2022,Qtr 4,October,4,13
2022,Qtr 4,October,5,15
2022,Qtr 4,October,6,16
2022,Qtr 4,October,7,13
2022,Qtr 4,October,8,1
2022,Qtr 4,October,9,2
2022,Qtr 4,October,10,13
2022,Qtr 4,October,11,37
2022,Qtr 4,October,12,21
2022,Qtr 4,October,13,12
2022,Qtr 4,October,14,28
2022,Qtr 4,October,16,4
2022,Qtr 4,October,17,30
2022,Qtr 4,October,18,19
2022,Qtr 4,October,19,7
2022,Qtr 4,October,20,23
2022,Qtr 4,October,21,25
2022,Qtr 4,October,22,2
2022,Qtr 4,October,23,5
2022,Qtr 4,October,24,30
2022,Qtr 4,October,25,22
2022,Qtr 4,October,26,11
2022,Qtr 4,October,27,23
2022,Qtr 4,October,28,10
2022,Qtr 4,October,29,11
2022,Qtr 4,October,30,9
2022,Qtr 4,October,31,24
2022,Qtr 4,November,1,33
2022,Qtr 4,November,2,14
2022,Qtr 4,November,3,11
2022,Qtr 4,November,4,13
2022,Qtr 4,November,5,3
2022,Qtr 4,November,6,11
2022,Qtr 4,November,7,35
2022,Qtr 4,November,8,13
2022,Qtr 4,November,9,15
2022,Qtr 4,November,10,9
2022,Qtr 4,November,14,24
2022,Qtr 4,November,15,26
2022,Qtr 4,November,16,16
2022,Qtr 4,November,17,29
2022,Qtr 4,November,18,10
2022,Qtr 4,November,19,5
2022,Qtr 4,November,20,11
2022,Qtr 4,November,21,23
2022,Qtr 4,November,22,30
2022,Qtr 4,November,23,11
2022,Qtr 4,November,25,1
2022,Qtr 4,November,28,39
2022,Qtr 4,November,29,21
2022,Qtr 4,November,30,14
2022,Qtr 4,December,1,16
2022,Qtr 4,December,2,8
2022,Qtr 4,December,3,7
2022,Qtr 4,December,4,8
2022,Qtr 4,December,5,25
2022,Qtr 4,December,6,29
2022,Qtr 4,December,7,12
2022,Qtr 4,December,8,22
2022,Qtr 4,December,9,14
2022,Qtr 4,December,10,5
2022,Qtr 4,December,11,6
2022,Qtr 4,December,12,23
2022,Qtr 4,December,13,23
2022,Qtr 4,December,14,11
2022,Qtr 4,December,15,10
2022,Qtr 4,December,16,12
2022,Qtr 4,December,17,6
2022,Qtr 4,December,19,27
2022,Qtr 4,December,20,9
2022,Qtr 4,December,21,17
2022,Qtr 4,December,22,16
2022,Qtr 4,December,23,7
2022,Qtr 4,December,24,2
2022,Qtr 4,December,27,28
2022,Qtr 4,December,28,22
2022,Qtr 4,December,29,19
2022,Qtr 4,December,30,10
2022,Qtr 4,December,31,9
2023,Qtr 1,January,1,1
2023,Qtr 1,January,3,16
2023,Qtr 1,January,4,21
2023,Qtr 1,January,5,13
2023,Qtr 1,January,6,8
2023,Qtr 1,January,7,10
2023,Qtr 1,January,8,6
2023,Qtr 1,January,9,15
2023,Qtr 1,January,10,28
2023,Qtr 1,January,11,15
2023,Qtr 1,January,12,16
2023,Qtr 1,January,13,19
2023,Qtr 1,January,14,9
2023,Qtr 1,January,15,6
2023,Qtr 1,January,17,49
2023,Qtr 1,January,18,22
2023,Qtr 1,January,19,10
2023,Qtr 1,January,20,16
2023,Qtr 1,January,21,6
2023,Qtr 1,January,22,6
2023,Qtr 1,January,23,22
2023,Qtr 1,January,24,23
2023,Qtr 1,January,25,12
2023,Qtr 1,January,26,14
2023,Qtr 1,January,27,17
2023,Qtr 1,January,28,7
2023,Qtr 1,January,29,14
2023,Qtr 1,January,30,23
2023,Qtr 1,January,31,17
2023,Qtr 1,February,1,6
2023,Qtr 1,February,2,14
2023,Qtr 1,February,3,18
2023,Qtr 1,February,4,3
2023,Qtr 1,February,5,15
2023,Qtr 1,February,6,27
2023,Qtr 1,February,7,12
2023,Qtr 1,February,8,11
2023,Qtr 1,February,9,11
2023,Qtr 1,February,10,7
2023,Qtr 1,February,12,7
2023,Qtr 1,February,13,30
2023,Qtr 1,February,14,23
2023,Qtr 1,February,15,14
2023,Qtr 1,February,16,7
2023,Qtr 1,February,17,10
2023,Qtr 1,February,19,1
2023,Qtr 1,February,21,35
2023,Qtr 1,February,22,23
2023,Qtr 1,February,23,17
2023,Qtr 1,February,24,4
2023,Qtr 1,February,26,1
2023,Qtr 1,February,27,22
2023,Qtr 1,February,28,15
2023,Qtr 1,March,1,17
2023,Qtr 1,March,2,12
2023,Qtr 1,March,3,23
2023,Qtr 1,March,4,7
2023,Qtr 1,March,5,6
2023,Qtr 1,March,6,26
2023,Qtr 1,March,7,33
2023,Qtr 1,March,8,17
2023,Qtr 1,March,9,14
2023,Qtr 1,March,10,10
2023,Qtr 1,March,11,1
2023,Qtr 1,March,12,4
2023,Qtr 1,March,13,29
2023,Qtr 1,March,14,29
2023,Qtr 1,March,15,14
2023,Qtr 1,March,16,27
2023,Qtr 1,March,17,12
2023,Qtr 1,March,18,5
2023,Qtr 1,March,19,1
2023,Qtr 1,March,20,28
2023,Qtr 1,March,21,23
2023,Qtr 1,March,22,10
2023,Qtr 1,March,23,13
2023,Qtr 1,March,24,20
2023,Qtr 1,March,25,1
2023,Qtr 1,March,27,22
2023,Qtr 1,March,28,18
2023,Qtr 1,March,29,13
2023,Qtr 1,March,30,12
2023,Qtr 2,April,3,29
2023,Qtr 2,April,4,24
2023,Qtr 2,April,5,20
2023,Qtr 2,April,6,18
2023,Qtr 2,April,7,22
2023,Qtr 2,April,8,5
2023,Qtr 2,April,9,3
2023,Qtr 2,April,10,24
2023,Qtr 2,April,11,25
2023,Qtr 2,April,12,7
2023,Qtr 2,April,13,21
2023,Qtr 2,April,14,18
2023,Qtr 2,April,15,2
2023,Qtr 2,April,16,1
2023,Qtr 2,April,17,27
2023,Qtr 2,April,18,20
2023,Qtr 2,April,19,19
2023,Qtr 2,April,20,11
2023,Qtr 2,April,21,13
2023,Qtr 2,April,22,3
2023,Qtr 2,April,24,28
2023,Qtr 2,April,25,23
2023,Qtr 2,April,26,20
2023,Qtr 2,April,27,11
2023,Qtr 2,April,28,19
2023,Qtr 2,April,29,4
2023,Qtr 2,May,1,18
2023,Qtr 2,May,2,32
2023,Qtr 2,May,3,18
2023,Qtr 2,May,4,11
2023,Qtr 2,May,5,9
2023,Qtr 2,May,6,4
2023,Qtr 2,May,8,26
2023,Qtr 2,May,9,24
2023,Qtr 2,May,10,22
2023,Qtr 2,May,11,18
2023,Qtr 2,May,12,13
2023,Qtr 2,May,13,3
2023,Qtr 2,May,14,3
2023,Qtr 2,May,15,25
2023,Qtr 2,May,16,21
2023,Qtr 2,May,17,18
2023,Qtr 2,May,18,19
2023,Qtr 2,May,19,9
2023,Qtr 2,May,22,23
2023,Qtr 2,May,23,25
2023,Qtr 2,May,24,13
2023,Qtr 2,May,25,16
2023,Qtr 2,May,26,12
2023,Qtr 2,May,30,31
2023,Qtr 2,May,31,24
2023,Qtr 2,June,1,22
2023,Qtr 2,June,2,13
2023,Qtr 2,June,3,3
2023,Qtr 2,June,4,2
2023,Qtr 2,June,5,25
2023,Qtr 2,June,6,20
2023,Qtr 2,June,7,16
2023,Qtr 2,June,8,10
2023,Qtr 2,June,9,18
2023,Qtr 2,June,10,7
2023,Qtr 2,June,11,6
2023,Qtr 2,June,12,33
2023,Qtr 2,June,13,34
2023,Qtr 2,June,14,17
2023,Qtr 2,June,15,31
2023,Qtr 2,June,16,17
2023,Qtr 2,June,19,1
2023,Qtr 2,June,20,37
2023,Qtr 2,June,21,34
2023,Qtr 2,June,22,20
2023,Qtr 2,June,23,11
2023,Qtr 2,June,24,4
2023,Qtr 2,June,26,30
2023,Qtr 2,June,27,21
2023,Qtr 2,June,28,21
2023,Qtr 2,June,29,23
2023,Qtr 2,June,30,13
2023,Qtr 3,July,3,29
2023,Qtr 3,July,5,40
2023,Qtr 3,July,6,33
2023,Qtr 3,July,7,23
2023,Qtr 3,July,8,7
2023,Qtr 3,July,9,1
2023,Qtr 3,July,10,27
2023,Qtr 3,July,11,22
2023,Qtr 3,July,12,22
2023,Qtr 3,July,13,15
2023,Qtr 3,July,14,15
2023,Qtr 3,July,15,5
2023,Qtr 3,July,17,21
2023,Qtr 3,July,18,39
2023,Qtr 3,July,19,25
2023,Qtr 3,July,20,26
2023,Qtr 3,July,21,15
2023,Qtr 3,July,23,1
2023,Qtr 3,July,24,31
2023,Qtr 3,July,25,26
2023,Qtr 3,July,26,17
2023,Qtr 3,July,27,13
2023,Qtr 3,July,28,17
2023,Qtr 3,July,29,2
2023,Qtr 3,July,30,3
2023,Qtr 3,July,31,26
2023,Qtr 3,August,1,28
2023,Qtr 3,August,2,14
2023,Qtr 3,August,3,21
2023,Qtr 3,August,4,17
2023,Qtr 3,August,6,6
2023,Qtr 3,August,7,24
2023,Qtr 3,August,8,23
2023,Qtr 3,August,9,13
2023,Qtr 3,August,10,22
2023,Qtr 3,August,11,18
2023,Qtr 3,August,13,11
2023,Qtr 3,August,14,28
2023,Qtr 3,August,15,25
2023,Qtr 3,August,16,14
2023,Qtr 3,August,17,15
2023,Qtr 3,August,18,11
2023,Qtr 3,August,19,7
2023,Qtr 3,August,21,34
2023,Qtr 3,August,22,22
2023,Qtr 3,August,23,10
2023,Qtr 3,August,24,15
2023,Qtr 3,August,25,6
2023,Qtr 3,August,27,9
2023,Qtr 3,August,28,29
2023,Qtr 3,August,29,30
2023,Qtr 3,August,30,14
2023,Qtr 3,August,31,18
2023,Qtr 3,September,1,16
2023,Qtr 3,September,2,3
2023,Qtr 3,September,3,1
2023,Qtr 3,September,4,1
2023,Qtr 3,September,5,31
2023,Qtr 3,September,6,24
2023,Qtr 3,September,7,24
2023,Qtr 3,September,8,10
2023,Qtr 3,September,9,5
2023,Qtr 3,September,10,2
2023,Qtr 3,September,11,23
2023,Qtr 3,September,12,32
2023,Qtr 3,September,13,12
2023,Qtr 3,September,14,17
2023,Qtr 3,September,15,8
2023,Qtr 3,September,16,1
2023,Qtr 3,September,17,6
2023,Qtr 3,September,18,26
2023,Qtr 3,September,19,15
2023,Qtr 3,September,20,15
2023,Qtr 3,September,21,14
2023,Qtr 3,September,22,9
2023,Qtr 3,September,25,28
2023,Qtr 3,September,26,27
2023,Qtr 3,September,27,22
2023,Qtr 3,September,28,19
2023,Qtr 3,September,29,19
2023,Qtr 3,September,30,1
2023,Qtr 4,October,2,30
2023,Qtr 4,October,3,19
2023,Qtr 4,October,4,16
2023,Qtr 4,October,5,19
2023,Qtr 4,October,6,20
2023,Qtr 4,October,9,9
2023,Qtr 4,October,10,28
2023,Qtr 4,October,11,15
2023,Qtr 4,October,12,17
2023,Qtr 4,October,13,11
2023,Qtr 4,October,14,1
2023,Qtr 4,October,16,30
2023,Qtr 4,October,17,17
2023,Qtr 4,October,18,25
2023,Qtr 4,October,19,21
2023,Qtr 4,October,20,21
2023,Qtr 4,October,21,3
2023,Qtr 4,October,22,3
2023,Qtr 4,October,23,35
2023,Qtr 4,October,24,25
2023,Qtr 4,October,25,14
2023,Qtr 4,October,26,24
2023,Qtr 4,October,27,17
2023,Qtr 4,October,28,2
2023,Qtr 4,October,29,9
2023,Qtr 4,October,30,26
2023,Qtr 4,October,31,31
2023,Qtr 4,November,1,12
2023,Qtr 4,November,2,19
2023,Qtr 4,November,3,8
2023,Qtr 4,November,4,1
2023,Qtr 4,November,5,1
2023,Qtr 4,November,6,25
2023,Qtr 4,November,7,19
2023,Qtr 4,November,8,15
2023,Qtr 4,November,9,12
2023,Qtr 4,November,12,1
2023,Qtr 4,November,13,32
2023,Qtr 4,November,14,17
2023,Qtr 4,November,15,25
2023,Qtr 4,November,16,13
2023,Qtr 4,November,17,15
2023,Qtr 4,November,18,3
2023,Qtr 4,November,19,1
2023,Qtr 4,November,20,27
2023,Qtr 4,November,21,26
2023,Qtr 4,November,22,13
2023,Qtr 4,November,24,1
2023,Qtr 4,November,27,32
2023,Qtr 4,November,28,21
2023,Qtr 4,November,29,8
2023,Qtr 4,November,30,12
2023,Qtr 4,December,1,12
2023,Qtr 4,December,2,1
2023,Qtr 4,December,4,15
2023,Qtr 4,December,5,12
2023,Qtr 4,December,6,16
2023,Qtr 4,December,7,20
2023,Qtr 4,December,8,4
2023,Qtr 4,December,11,22
2023,Qtr 4,December,12,14
2023,Qtr 4,December,13,11
2023,Qtr 4,December,14,14
2023,Qtr 4,December,15,11
2023,Qtr 4,December,18,14
2023,Qtr 4,December,19,19
2023,Qtr 4,December,20,10
2023,Qtr 4,December,21,9
2023,Qtr 4,December,22,8
2023,Qtr 4,December,26,14
2023,Qtr 4,December,27,35
2023,Qtr 4,December,28,8
2023,Qtr 4,December,29,13
